description,factors,id,location,routes_affected,type,vulnerability_score
"Node used by 3 of 3 routes. Factors: common_to_all_routes, major_intersection, bridge_or_viaduct.","['common_to_all_routes', 'major_intersection', 'bridge_or_viaduct']",cp_4593416919,"(51.9561308, 4.430204)","['r_logical', 'r_safest', 'r_shortest']",intersection,10.0
"Node used by 2 of 3 routes. Factors: shared_by_multiple_routes, major_intersection, dense_or_complex_urban_area.","['shared_by_multiple_routes', 'major_intersection', 'dense_or_complex_urban_area']",cp_9933716017,"(52.0878895, 4.2804114)","['r_safest', 'r_shortest']",intersection,8.0
"Node used by 2 of 3 routes. Factors: shared_by_multiple_routes, major_intersection, dense_or_complex_urban_area.","['shared_by_multiple_routes', 'major_intersection', 'dense_or_complex_urban_area']",cp_9933716032,"(52.088103, 4.2808339)","['r_safest', 'r_shortest']",intersection,8.0
"Node used by 2 of 3 routes. Factors: shared_by_multiple_routes, major_intersection, dense_or_complex_urban_area.","['shared_by_multiple_routes', 'major_intersection', 'dense_or_complex_urban_area']",cp_2192484413,"(52.088789, 4.2824868)","['r_safest', 'r_shortest']",intersection,8.0
"Node used by 2 of 3 routes. Factors: shared_by_multiple_routes, dense_or_complex_urban_area.","['shared_by_multiple_routes', 'dense_or_complex_urban_area']",cp_4431755666,"(52.0892852, 4.2831647)","['r_safest', 'r_shortest']",intersection,6.0
"Node used by 2 of 3 routes. Factors: shared_by_multiple_routes, dense_or_complex_urban_area.","['shared_by_multiple_routes', 'dense_or_complex_urban_area']",cp_1200840437,"(52.0893316, 4.2831962)","['r_safest', 'r_shortest']",intersection,6.0
"Node used by 3 of 3 routes. Factors: common_to_all_routes, major_intersection, dense_or_complex_urban_area.","['common_to_all_routes', 'major_intersection', 'dense_or_complex_urban_area']",cp_1200840426,"(52.0903789, 4.2833534)","['r_logical', 'r_safest', 'r_shortest']",intersection,9.0
"Node used by 3 of 3 routes. Factors: common_to_all_routes, dense_or_complex_urban_area.","['common_to_all_routes', 'dense_or_complex_urban_area']",cp_1200840476,"(52.0917249, 4.2838556)","['r_logical', 'r_safest', 'r_shortest']",intersection,7.0
"Node used by 3 of 3 routes. Factors: common_to_all_routes, dense_or_complex_urban_area.","['common_to_all_routes', 'dense_or_complex_urban_area']",cp_1200840360,"(52.0935053, 4.2847442)","['r_logical', 'r_safest', 'r_shortest']",intersection,7.0
"Node used by 3 of 3 routes. Factors: common_to_all_routes, dense_or_complex_urban_area.","['common_to_all_routes', 'dense_or_complex_urban_area']",cp_1200840369,"(52.0950197, 4.2857472)","['r_logical', 'r_safest', 'r_shortest']",intersection,7.0
"Node used by 3 of 3 routes. Factors: common_to_all_routes, major_intersection, dense_or_complex_urban_area.","['common_to_all_routes', 'major_intersection', 'dense_or_complex_urban_area']",cp_1200840398,"(52.0956981, 4.286514)","['r_logical', 'r_safest', 'r_shortest']",intersection,9.0
"Node used by 2 of 3 routes. Factors: shared_by_multiple_routes, dense_or_complex_urban_area.","['shared_by_multiple_routes', 'dense_or_complex_urban_area']",cp_2189093921,"(52.0960975, 4.2875249)","['r_safest', 'r_shortest']",intersection,6.0
"Node used by 2 of 3 routes. Factors: shared_by_multiple_routes, dense_or_complex_urban_area.","['shared_by_multiple_routes', 'dense_or_complex_urban_area']",cp_1200840549,"(52.0961352, 4.2876354)","['r_safest', 'r_shortest']",intersection,6.0
Node used by 2 of 3 routes. Factors: shared_by_multiple_routes.,['shared_by_multiple_routes'],cp_1200840355,"(52.0978799, 4.2949686)","['r_safest', 'r_shortest']",intersection,5.0
"Node used by 2 of 3 routes. Factors: shared_by_multiple_routes, major_intersection, bridge_or_viaduct.","['shared_by_multiple_routes', 'major_intersection', 'bridge_or_viaduct']",cp_1200785922,"(52.098189, 4.2961931)","['r_safest', 'r_shortest']",intersection,9.0
"Node used by 2 of 3 routes. Factors: shared_by_multiple_routes, major_intersection, bridge_or_viaduct.","['shared_by_multiple_routes', 'major_intersection', 'bridge_or_viaduct']",cp_45220485,"(52.0942466, 4.3089249)","['r_safest', 'r_shortest']",intersection,9.0
"Node used by 2 of 3 routes. Factors: shared_by_multiple_routes, major_intersection.","['shared_by_multiple_routes', 'major_intersection']",cp_1164136121,"(52.0926445, 4.3102526)","['r_safest', 'r_shortest']",intersection,7.0
"Node used by 2 of 3 routes. Factors: shared_by_multiple_routes, major_intersection.","['shared_by_multiple_routes', 'major_intersection']",cp_1164135846,"(52.092532, 4.3103323)","['r_safest', 'r_shortest']",intersection,7.0
"Node used by 2 of 3 routes. Factors: shared_by_multiple_routes, major_intersection.","['shared_by_multiple_routes', 'major_intersection']",cp_10698110633,"(52.0899517, 4.3123943)","['r_safest', 'r_shortest']",intersection,7.0
"Node used by 3 of 3 routes. Factors: common_to_all_routes, major_intersection, bridge_or_viaduct, dense_or_complex_urban_area.","['common_to_all_routes', 'major_intersection', 'bridge_or_viaduct', 'dense_or_complex_urban_area']",cp_10698110627,"(52.089881, 4.3124435)","['r_logical', 'r_safest', 'r_shortest']",intersection,10.0
"Node used by 3 of 3 routes. Factors: common_to_all_routes, major_intersection, bridge_or_viaduct, dense_or_complex_urban_area.","['common_to_all_routes', 'major_intersection', 'bridge_or_viaduct', 'dense_or_complex_urban_area']",cp_45188005,"(52.0874326, 4.3144678)","['r_logical', 'r_safest', 'r_shortest']",intersection,10.0
Node used by 2 of 3 routes. Factors: shared_by_multiple_routes.,['shared_by_multiple_routes'],cp_1165671780,"(52.0871428, 4.3146993)","['r_safest', 'r_shortest']",intersection,5.0
"Node used by 2 of 3 routes. Factors: shared_by_multiple_routes, major_intersection, bridge_or_viaduct.","['shared_by_multiple_routes', 'major_intersection', 'bridge_or_viaduct']",cp_1164135929,"(52.0859237, 4.3156736)","['r_safest', 'r_shortest']",intersection,9.0
"Node used by 2 of 3 routes. Factors: shared_by_multiple_routes, major_intersection, dense_or_complex_urban_area.","['shared_by_multiple_routes', 'major_intersection', 'dense_or_complex_urban_area']",cp_6519060615,"(52.0826486, 4.3161237)","['r_safest', 'r_shortest']",intersection,8.0
"Node used by 2 of 3 routes. Factors: shared_by_multiple_routes, major_intersection, dense_or_complex_urban_area.","['shared_by_multiple_routes', 'major_intersection', 'dense_or_complex_urban_area']",cp_6519060621,"(52.0824413, 4.3155786)","['r_safest', 'r_shortest']",intersection,8.0
"Node used by 2 of 3 routes. Factors: shared_by_multiple_routes, major_intersection, dense_or_complex_urban_area.","['shared_by_multiple_routes', 'major_intersection', 'dense_or_complex_urban_area']",cp_6519042443,"(52.0820929, 4.3146882)","['r_safest', 'r_shortest']",intersection,8.0
"Node used by 2 of 3 routes. Factors: shared_by_multiple_routes, major_intersection, dense_or_complex_urban_area.","['shared_by_multiple_routes', 'major_intersection', 'dense_or_complex_urban_area']",cp_6519042442,"(52.0819172, 4.3142276)","['r_safest', 'r_shortest']",intersection,8.0
"Node used by 2 of 3 routes. Factors: shared_by_multiple_routes, major_intersection, dense_or_complex_urban_area.","['shared_by_multiple_routes', 'major_intersection', 'dense_or_complex_urban_area']",cp_6519042430,"(52.0817467, 4.3139033)","['r_safest', 'r_shortest']",intersection,8.0
"Node used by 3 of 3 routes. Factors: common_to_all_routes, major_intersection, dense_or_complex_urban_area.","['common_to_all_routes', 'major_intersection', 'dense_or_complex_urban_area']",cp_6519030828,"(52.0814216, 4.3136408)","['r_logical', 'r_safest', 'r_shortest']",intersection,9.0
"Node used by 2 of 3 routes. Factors: shared_by_multiple_routes, major_intersection.","['shared_by_multiple_routes', 'major_intersection']",cp_1433962107,"(51.9523983, 4.4217385)","['r_logical', 'r_safest']",intersection,7.0
"Node used by 2 of 3 routes. Factors: shared_by_multiple_routes, major_intersection, bridge_or_viaduct, dense_or_complex_urban_area.","['shared_by_multiple_routes', 'major_intersection', 'bridge_or_viaduct', 'dense_or_complex_urban_area']",cp_312642167,"(51.95235, 4.4216105)","['r_logical', 'r_safest']",intersection,10.0
"Node used by 2 of 3 routes. Factors: shared_by_multiple_routes, major_intersection, dense_or_complex_urban_area.","['shared_by_multiple_routes', 'major_intersection', 'dense_or_complex_urban_area']",cp_629532196,"(52.0073674, 4.3716429)","['r_logical', 'r_safest']",intersection,8.0
"Node used by 2 of 3 routes. Factors: shared_by_multiple_routes, major_intersection, bridge_or_viaduct.","['shared_by_multiple_routes', 'major_intersection', 'bridge_or_viaduct']",cp_1164135916,"(52.0859526, 4.3159376)","['r_logical', 'r_safest']",intersection,9.0
