description,factors,id,location,routes_affected,type,vulnerability_score
Node used by 3 of 3 routes. Factors: common_to_all_routes. (Near safe route - 225m away),['common_to_all_routes'],cp_4593416910,"(51.9578975, 4.4351556)","['r_logical', 'r_safest', 'r_shortest', 'r_safe_manual']",intersection,6.0
Node used by 3 of 3 routes. (Merged cluster of 2 nearby chokepoints covering 3 routes) (Near safe route - 457m away),['common_to_all_routes'],cp_11003276648_cluster_1,"(51.9602748, 4.4410809)","['r_logical', 'r_safest', 'r_shortest', 'r_safe_manual']",intersection,6.0
Node used by 3 of 3 routes. (Merged cluster of 3 nearby chokepoints covering 3 routes) (Near safe route - 467m away),"['common_to_all_routes', 'major_intersection']",cp_5735349098_cluster_8,"(51.9658079, 4.450509)","['r_logical', 'r_safest', 'r_shortest', 'r_safe_manual']",intersection,8.0
Node used by 3 of 3 routes. (Merged cluster of 5 nearby chokepoints covering 3 routes) (Near safe route - 406m away),"['common_to_all_routes', 'bridge_or_viaduct']",cp_7072243049_cluster_9,"(51.9666787, 4.4524686)","['r_logical', 'r_safest', 'r_shortest', 'r_safe_manual']",intersection,8.0
Node used by 3 of 3 routes. (Merged cluster of 4 nearby chokepoints covering 3 routes) (Near safe route - 410m away),['common_to_all_routes'],cp_5390786227_cluster_10,"(51.9670849, 4.4536712)","['r_logical', 'r_safest', 'r_shortest', 'r_safe_manual']",intersection,6.0
Node used by 3 of 3 routes. (Merged cluster of 11 nearby chokepoints covering 3 routes) (Near safe route - 474m away),"['common_to_all_routes', 'shared_by_multiple_routes', 'major_intersection']",cp_11231001237_cluster_11,"(51.9675774, 4.455695)","['r_logical', 'r_safest', 'r_shortest', 'r_safe_manual']",intersection,8.0
Node used by 2 of 3 routes. (Merged cluster of 3 nearby chokepoints covering 2 routes) (Near safe route - 386m away),"['shared_by_multiple_routes', 'major_intersection']",cp_8089743132_cluster_12,"(51.9687196, 4.4552309)","['r_logical', 'r_shortest', 'r_safe_manual']",intersection,7.0
Node used by 2 of 3 routes. (Merged cluster of 5 nearby chokepoints covering 2 routes) (Near safe route - 133m away),"['shared_by_multiple_routes', 'dense_or_complex_urban_area', 'major_intersection']",cp_6519042443_cluster_23,"(52.0820929, 4.3146882)","['r_safest', 'r_shortest', 'r_safe_manual']",intersection,8.0
Node used by 3 of 3 routes. (Merged cluster of 5 nearby chokepoints covering 3 routes) (Near safe route - 78m away),"['common_to_all_routes', 'dense_or_complex_urban_area', 'major_intersection']",cp_45159260_cluster_24,"(52.0809327, 4.3157432)","['r_logical', 'r_safest', 'r_shortest', 'r_safe_manual']",intersection,9.0
A16 motorway start junction near Rotterdam Airport - high traffic intersection,"['major_intersection', 'shared_by_multiple_routes']",cp_safe_a16_start,"(51.97, 4.45)",['r_safe_manual'],intersection,7.0
N209 to A12 transition junction - potential bottleneck,['major_intersection'],cp_safe_n209_junction,"(52.05, 4.51)",['r_safe_manual'],intersection,6.5
A12 approach to The Hague - urban transition zone,"['major_intersection', 'dense_or_complex_urban_area']",cp_safe_a12_approach,"(52.075, 4.50)",['r_safe_manual'],intersection,8.0
Konnningskade urban intersection - high pedestrian/crowd density,"['major_intersection', 'dense_or_complex_urban_area']",cp_safe_konnningskade,"(52.085, 4.44)",['r_safe_manual'],intersection,7.5
Hubertus Viaduct - elevated bridge structure with limited escape routes,"['bridge_or_viaduct', 'major_intersection', 'dense_or_complex_urban_area']",cp_safe_hubertus_viaduct,"(52.085, 4.36)",['r_safe_manual'],intersection,9.0
S100 junction near Mauritshuis - final approach intersection,['major_intersection'],cp_safe_s100_junction,"(52.082, 4.33)",['r_safe_manual'],intersection,6.0
