description,id,location,priority_score,related_chokepoint,related_route,type
High-threat ambush location (threat score: 4.8). Motorcade speed: 9 km/h in living_street segment.,poi_ambush_r_shortest_349,"(52.0239917, 4.4268111)",4.833333333333334,,r_shortest,ambush_location
High-threat ambush location (threat score: 4.8). Motorcade speed: 9 km/h in living_street segment.,poi_ambush_r_shortest_350,"(52.024193, 4.4266064)",4.833333333333334,,r_shortest,ambush_location
High-threat ambush location (threat score: 4.8). Motorcade speed: 9 km/h in living_street segment.,poi_ambush_r_shortest_351,"(52.0243939, 4.4263871)",4.833333333333334,,r_shortest,ambush_location
High-threat ambush location (threat score: 4.8). Motorcade speed: 9 km/h in living_street segment.,poi_ambush_r_shortest_352,"(52.0246206, 4.4261487)",4.833333333333334,,r_shortest,ambush_location
High-threat ambush location (threat score: 4.8). Motorcade speed: 9 km/h in living_street segment.,poi_ambush_r_shortest_353,"(52.0246562, 4.4261113)",4.833333333333334,,r_shortest,ambush_location
High-threat ambush location (threat score: 4.8). Motorcade speed: 9 km/h in living_street segment.,poi_ambush_r_shortest_354,"(52.0248891, 4.4258665)",4.833333333333334,,r_shortest,ambush_location
High-threat ambush location (threat score: 4.8). Motorcade speed: 9 km/h in living_street segment. (Represents cluster of 2 nearby threat locations),poi_ambush_r_shortest_355_cluster_0,"(52.0247324, 4.4254454)",4.833333333333334,,r_shortest,ambush_location
High-threat ambush location (threat score: 4.6). Motorcade speed: 10 km/h in residential segment.,poi_ambush_r_safest_1230,"(52.0827446, 4.301296)",4.625,,r_safest,ambush_location
High-threat ambush location (threat score: 4.0). Motorcade speed: 12 km/h in residential segment. (Represents cluster of 15 nearby threat locations),poi_ambush_r_logical_618_cluster_2,"(52.0917249, 4.2838556)",4.0,,r_logical,ambush_location
"High-priority surveillance position (priority: 2.7). 3 access routes, 540m from route center.",poi_surv_r_shortest_574,"(52.0445333, 4.3611179)",2.730648130226978,,r_shortest,surveillance_point
"High-priority surveillance position (priority: 2.7). 3 access routes, 545m from route center.",poi_surv_r_shortest_575,"(52.0445774, 4.3610308)",2.7242907397145797,,r_shortest,surveillance_point
"High-priority surveillance position (priority: 2.6). 2 access routes, 436m from route center.",poi_surv_r_shortest_564,"(52.0429957, 4.3644183)",2.608656001890759,,r_shortest,surveillance_point
"High-priority surveillance position (priority: 2.5). 5 access routes, 1878m from route center.",poi_surv_r_logical_335,"(52.0731389, 4.3326977)",2.5,,r_logical,surveillance_point
"High-priority surveillance position (priority: 2.5). 5 access routes, 1929m from route center.",poi_surv_r_logical_346,"(52.0735441, 4.332265)",2.5,,r_logical,surveillance_point
"High-priority surveillance position (priority: 2.5). 4 access routes, 2192m from route center.",poi_surv_r_logical_394,"(52.0755167, 4.3296785)",2.5,,r_logical,surveillance_point
"High-priority surveillance position (priority: 2.5). 4 access routes, 3642m from route center.",poi_surv_r_logical_454,"(52.0860512, 4.3158895)",2.5,,r_logical,surveillance_point
"High-priority surveillance position (priority: 2.5). 4 access routes, 3788m from route center.",poi_surv_r_logical_458,"(52.0872209, 4.314915)",2.5,,r_logical,surveillance_point
"High-priority surveillance position (priority: 2.5). 4 access routes, 4470m from route center.",poi_surv_r_logical_756,"(52.0926445, 4.3102526)",2.5,,r_logical,surveillance_point
"High-priority surveillance position (priority: 2.5). 4 access routes, 3823m from route center.",poi_surv_r_logical_773,"(52.0874326, 4.3144678)",2.5,,r_logical,surveillance_point
"High-priority surveillance position (priority: 2.5). 5 access routes, 2824m from route center.",poi_surv_r_safest_605,"(52.0103869, 4.3405676)",2.5,,r_safest,surveillance_point
"High-priority surveillance position (priority: 2.4). 5 access routes, 5868m from route center. (Represents cluster of 2 nearby threat locations)",poi_surv_r_shortest_275_cluster_3,"(52.0165922, 4.4400348)",2.35,,r_shortest,surveillance_point
"High-priority surveillance position (priority: 2.4). 5 access routes, 5550m from route center.",poi_surv_r_shortest_293,"(52.0199317, 4.4379877)",2.35,,r_shortest,surveillance_point
"High-priority surveillance position (priority: 2.4). 4 access routes, 2897m from route center. (Represents cluster of 2 nearby threat locations)",poi_surv_r_shortest_414_cluster_5,"(52.0360664, 4.4079246)",2.35,,r_shortest,surveillance_point
"High-priority surveillance position (priority: 2.4). 5 access routes, 2583m from route center. (Represents cluster of 2 nearby threat locations)",poi_surv_r_shortest_425_cluster_6,"(52.0372898, 4.403773)",2.35,,r_shortest,surveillance_point
"High-priority surveillance position (priority: 2.4). 5 access routes, 5686m from route center. (Represents cluster of 3 nearby threat locations)",poi_surv_r_logical_593_cluster_7,"(52.0958755, 4.2862948)",2.35,,r_logical,surveillance_point
"High-priority surveillance position (priority: 2.4). 5 access routes, 8815m from route center.",poi_surv_r_safest_158,"(51.9852633, 4.4600295)",2.35,,r_safest,surveillance_point
"High-priority surveillance position (priority: 2.4). 5 access routes, 8741m from route center. (Represents cluster of 2 nearby threat locations)",poi_surv_r_safest_175_cluster_9,"(51.9886291, 4.4626924)",2.35,,r_safest,surveillance_point
"High-priority surveillance position (priority: 2.4). 5 access routes, 2743m from route center. (Represents cluster of 3 nearby threat locations)",poi_surv_r_safest_674_cluster_10,"(52.0326478, 4.3177048)",2.35,,r_safest,surveillance_point
"High-priority surveillance position (priority: 2.4). 5 access routes, 6299m from route center. (Represents cluster of 2 nearby threat locations)",poi_surv_r_safest_902_cluster_11,"(52.0725951, 4.291156)",2.35,,r_safest,surveillance_point
"High-priority surveillance position (priority: 2.4). 4 access routes, 6133m from route center.",poi_surv_r_safest_920,"(52.0737947, 4.2965922)",2.35,,r_safest,surveillance_point
High-value observation point at chokepoint (vulnerability: 9.0). Elevation advantage: Yes. Distance to route: 0m.,poi_obs_cp_30216941_cluster_17,"(52.0928302, 4.2885914)",4.5,cp_30216941_cluster_17,,enemy_observation_point
High-value observation point at chokepoint (vulnerability: 9.0). Elevation advantage: Yes. Distance to route: 0m.,poi_obs_cp_12453613708_cluster_18,"(52.0938187, 4.287391)",4.5,cp_12453613708_cluster_18,,enemy_observation_point
High-value observation point at chokepoint (vulnerability: 9.0). Elevation advantage: Yes. Distance to route: 0m.,poi_obs_cp_7080075359_cluster_19,"(52.0929787, 4.2850859)",4.5,cp_7080075359_cluster_19,,enemy_observation_point
High-value observation point at chokepoint (vulnerability: 9.0). Elevation advantage: Yes. Distance to route: 0m.,poi_obs_cp_45159260_cluster_24,"(52.0809327, 4.3157432)",4.5,cp_45159260_cluster_24,,enemy_observation_point
High-value observation point at chokepoint (vulnerability: 8.0). Elevation advantage: Yes. Distance to route: 0m. (Represents cluster of 2 nearby threat locations),poi_obs_cp_5735349098_cluster_8_cluster_0,"(51.9658079, 4.450509)",4.0,cp_5735349098_cluster_8,,enemy_observation_point
High-value observation point at chokepoint (vulnerability: 8.0). Elevation advantage: Yes. Distance to route: 0m. (Represents cluster of 2 nearby threat locations),poi_obs_cp_7072243049_cluster_9_cluster_1,"(51.9666787, 4.4524686)",4.0,cp_7072243049_cluster_9,,enemy_observation_point
