description,id,location,priority_score,related_chokepoint,related_route,type
High-threat ambush location (threat score: 4.6). Motorcade speed: 10 km/h in residential segment.,poi_ambush_r_shortest_533,"(52.0905641, 4.3215536)",4.625,,r_shortest,ambush_location
High-threat ambush location (threat score: 4.6). Motorcade speed: 10 km/h in residential segment.,poi_ambush_r_shortest_562,"(52.0912334, 4.3158227)",4.625,,r_shortest,ambush_location
High-threat ambush location (threat score: 4.6). Motorcade speed: 10 km/h in residential segment.,poi_ambush_r_safest_1920,"(52.0827446, 4.301296)",4.625,,r_safest,ambush_location
High-threat ambush location (threat score: 4.0). Motorcade speed: 12 km/h in residential segment.,poi_ambush_r_shortest_524,"(52.0919785, 4.3291685)",4.0,,r_shortest,ambush_location
High-threat ambush location (threat score: 4.0). Motorcade speed: 12 km/h in residential segment.,poi_ambush_r_shortest_525,"(52.091429, 4.3278109)",4.0,,r_shortest,ambush_location
High-threat ambush location (threat score: 4.0). Motorcade speed: 12 km/h in residential segment.,poi_ambush_r_shortest_526,"(52.0908451, 4.3264083)",4.0,,r_shortest,ambush_location
High-threat ambush location (threat score: 4.0). Motorcade speed: 12 km/h in residential segment. (Represents cluster of 3 nearby threat locations),poi_ambush_r_shortest_527_cluster_0,"(52.0914497, 4.3258036)",4.0,,r_shortest,ambush_location
High-threat ambush location (threat score: 4.0). Motorcade speed: 12 km/h in residential segment. (Represents cluster of 8 nearby threat locations),poi_ambush_r_logical_972_cluster_1,"(52.0917249, 4.2838556)",4.0,,r_logical,ambush_location
High-threat ambush location (threat score: 4.0). Motorcade speed: 12 km/h in residential segment. (Represents cluster of 7 nearby threat locations),poi_ambush_r_safest_1668_cluster_2,"(52.0858916, 4.3053663)",4.0,,r_safest,ambush_location
"High-priority surveillance position (priority: 2.5). 5 access routes, 2728m from route center.",poi_surv_r_shortest_383,"(52.1418304, 4.4149994)",2.5,,r_shortest,surveillance_point
"High-priority surveillance position (priority: 2.5). 5 access routes, 6451m from route center.",poi_surv_r_shortest_445,"(52.1175582, 4.3772535)",2.5,,r_shortest,surveillance_point
"High-priority surveillance position (priority: 2.5). 5 access routes, 6812m from route center.",poi_surv_r_shortest_453,"(52.1151663, 4.3736661)",2.5,,r_shortest,surveillance_point
"High-priority surveillance position (priority: 2.5). 5 access routes, 9371m from route center.",poi_surv_r_shortest_485,"(52.0991944, 4.3466889)",2.5,,r_shortest,surveillance_point
"High-priority surveillance position (priority: 2.5). 4 access routes, 15745m from route center.",poi_surv_r_logical_1110,"(52.0926445, 4.3102526)",2.5,,r_logical,surveillance_point
"High-priority surveillance position (priority: 2.5). 4 access routes, 15830m from route center.",poi_surv_r_logical_1127,"(52.0874326, 4.3144678)",2.5,,r_logical,surveillance_point
"High-priority surveillance position (priority: 2.5). 4 access routes, 13303m from route center.",poi_surv_r_safest_1608,"(52.0872209, 4.314915)",2.5,,r_safest,surveillance_point
"High-priority surveillance position (priority: 2.5). 4 access routes, 1030m from route center.",poi_surv_r_safest_917,"(52.1533105, 4.4938143)",2.4501712084370877,,r_safest,surveillance_point
"High-priority surveillance position (priority: 2.4). 5 access routes, 1059m from route center.",poi_surv_r_safest_923,"(52.1515042, 4.49441)",2.4356756918169027,,r_safest,surveillance_point
"High-priority surveillance position (priority: 2.4). 5 access routes, 1129m from route center. (Represents cluster of 4 nearby threat locations)",poi_surv_r_safest_889_cluster_1,"(52.1549022, 4.4946767)",2.4019810702112903,,r_safest,surveillance_point
"High-priority surveillance position (priority: 2.4). 4 access routes, 11728m from route center. (Represents cluster of 4 nearby threat locations)",poi_surv_r_shortest_583_cluster_2,"(52.0926445, 4.3102526)",2.35,,r_shortest,surveillance_point
